SCRAPPER; TICKER; NAME                              ; IMAGE                                                                      ; NOTE  ;
FINVIZ  ; AAL   ; American Airlines Group Inc.      ; https://s3-symbol-logo.tradingview.com/american-airlines-group--big.svg    ; Degiro;
FINVIZ  ; AMZN  ; Amazon.com, Inc.                  ; https://s3-symbol-logo.tradingview.com/amazon--big.svg                     ; Revolut;
FINVIZ  ; AZO   ; AutoZone.                         ; https://s3-symbol-logo.tradingview.com/autozone--big.svg                   ; Trading212;
FINVIZ  ; BABA  ; Alibaba Group                     ; https://s3-symbol-logo.tradingview.com/alibaba--big.svg                    ; Interactive Broker;
FINVIZ  ; BKNG  ; Booking                           ; https://s3-symbol-logo.tradingview.com/booking--big.svg                    ; Trading212;
FINVIZ  ; BP    ; BP p.l.c.                         ; https://s3-symbol-logo.tradingview.com/bp--big.svg                         ; Degiro;
FINVIZ  ; COST  ; Costco Wholesale                  ; https://s3-symbol-logo.tradingview.com/costco-wholesale--big.svg           ; Trading212;
FINVIZ  ; CNI   ; Canadian National Railway         ; https://s3-symbol-logo.tradingview.com/canadian-national-railways--big.svg ; Trading212;
FINVIZ  ; CRM   ; Salesforce                        ; https://s3-symbol-logo.tradingview.com/salesforce--big.svg                 ; Degiro;
FINVIZ  ; EEFT  ; Euronet Worldwide Inc.            ; https://s3-symbol-logo.tradingview.com/euronet-worldwide--big.svg          ; Interactive Brokers;
FINVIZ  ; F     ; Ford Motor                        ; https://s3-symbol-logo.tradingview.com/ford--big.svg                       ; Degiro;
FINVIZ  ; FUN   ; Six Flags Entertainment Corp      ; https://s3-symbol-logo.tradingview.com/six-flags--big.svg                  ; Degiro;
FINVIZ  ; GM    ; General Motors Co                 ; https://s3-symbol-logo.tradingview.com/general-motors--big.svg             ; Degiro;
FINVIZ  ; GOOGL ; Alphabet Inc.                     ; https://s3-symbol-logo.tradingview.com/alphabet--big.svg                   ; Revolut;
FINVIZ  ; KHC   ; Kraft Heinz Co                    ; https://s3-symbol-logo.tradingview.com/kraft-heinz--big.svg                ; Degiro;
FINVIZ  ; KO    ; The Coca-Cola Company             ; https://s3-symbol-logo.tradingview.com/coca-cola--big.svg                  ; Revolut;
FINVIZ  ; LUV   ; Southwest Airlines                ; https://s3-symbol-logo.tradingview.com/southwest--big.svg                  ; Degiro;
FINVIZ  ; MA    ; Mastercard                        ; https://s3-symbol-logo.tradingview.com/mastercard--big.svg                 ; Interactive Broker;
FINVIZ  ; META  ; Meta                              ; https://s3-symbol-logo.tradingview.com/meta-platforms--big.svg             ; Trading212;
FINVIZ  ; MCO   ; Moody's                           ; https://s3-symbol-logo.tradingview.com/moodys--big.svg                     ; Trading212;
FINVIZ  ; MCD   ; McDonald's Corporation            ; https://s3-symbol-logo.tradingview.com/mcdonalds--big.svg                  ; Revolut;
FINVIZ  ; MSFT  ; Microsoft Corporation             ; https://s3-symbol-logo.tradingview.com/microsoft--big.svg                  ; Revolut;
FINVIZ  ; MICC  ; Magnum Ice Cream Company          ; https://s3-symbol-logo.tradingview.com/the-magnum-ice-cream-company-nv--big.svg ; Degiro;
FINVIZ  ; NCLH  ; Norwegian Cruise Line Holdings Ltd; https://s3-symbol-logo.tradingview.com/norwegian-cruise-line--big.svg      ; Degiro;
FINVIZ  ; NFLX  ; Netflix                           ; https://s3-symbol-logo.tradingview.com/netflix--big.svg                    ; Trading212;
FINVIZ  ; PEP   ; PepsiCo                           ; https://s3-symbol-logo.tradingview.com/pepsico--big.svg                    ; Degiro;
FINVIZ  ; PLUG  ; Plug Power Inc                    ; https://s3-symbol-logo.tradingview.com/plug-power--big.svg                 ; Degiro;
FINVIZ  ; PSTG  ; Pure Storage                      ; https://s3-symbol-logo.tradingview.com/pure-storage--big.svg               ; Degiro;
FINVIZ  ; PYPL  ; PayPal                            ; https://s3-symbol-logo.tradingview.com/paypal--big.svg                     ; Interactive Brokers;
FINVIZ  ; S     ; SentinelOne                       ; https://s3-symbol-logo.tradingview.com/sentinelone--big.svg                ; Interactive Brokers;
FINVIZ  ; SHEL  ; Shell plc                         ; https://s3-symbol-logo.tradingview.com/shell--big.svg                      ; Degiro;
FINVIZ  ; SPGI  ; S&P Global                        ; https://s3-symbol-logo.tradingview.com/s-and-p-global--big.svg             ; Trading219;
FINVIZ  ; SOFI  ; SoFi Technologies Inc.            ; https://s3-symbol-logo.tradingview.com/sofi--big.svg                       ; Interactive Brokers;
FINVIZ  ; T     ; AT&T Inc.                         ; https://s3-symbol-logo.tradingview.com/at-and-t--big.svg                   ; Degiro;
FINVIZ  ; UNH   ; UnitedHealth                      ; https://s3-symbol-logo.tradingview.com/unitedhealth--big.svg               ; Interactive Brokers;
FINVIZ  ; UL    ; Unilever PLC                      ; https://s3-symbol-logo.tradingview.com/unilever--big.svg                   ; Degiro;
FINVIZ  ; VICI  ; Vici Properties                   ; https://s3-symbol-logo.tradingview.com/vici-properties--big.svg            ; Degiro;
FINVIZ  ; WBD   ; Warner Bros                       ; https://s3-symbol-logo.tradingview.com/warner-bros-discovery--big.svg      ; Degiro;
FINVIZ  ; WFC   ; Wells Fargo                       ; https://s3-symbol-logo.tradingview.com/wells-fargo--big.svg                ; Degiro;
